,name,total_params,zero_params,nonzero_params,sparsity,size_standard_mb,size_compressed_mb,size_theoretical_mb,memory_mb,effective_memory_mb,accuracy,precision,recall,f1,auc,avg_time_ms,confusion_matrix
Original,Original,4716705,0,4716705,0.0,18.029417037963867,16.66236972808838,17.992801666259766,17.992801666259766,17.992801666259766,94.28228708516593,91.52798789712556,97.50201450443191,94.4206008583691,0.989074351201668,3310.463802723945,"[[1148  112]
 [  31 1210]]"
Pruned,Pruned,4716705,2355376,2361329,49.93689450580437,18.029356002807617,9.838605880737305,9.007755279541016,17.992801666259766,9.007755279541016,94.2423030787685,92.68482490272373,95.9709911361805,94.29928741092635,0.988500697082486,3281.8892786774454,"[[1166   94]
 [  50 1191]]"
Quantized,Quantized,4716192,0,4716192,0.0,18.02873992919922,16.661389350891113,17.9908447265625,17.9908447265625,17.9908447265625,94.2423030787685,91.45880574452003,97.50201450443191,94.38377535101404,0.9890717931008021,3262.5269165521936,"[[1147  113]
 [  31 1210]]"
Pruned+Quantized,Pruned+Quantized,4716192,2355361,2360831,49.94200829822026,18.02873992919922,9.837630271911621,9.005855560302734,17.9908447265625,9.005855560302734,94.20231907237105,92.6791277258567,95.8904109589041,94.25742574257426,0.988515406162465,3296.5855930424946,"[[1166   94]
 [  51 1190]]"
